file_name,relative_path,source_folder,category,description,media_type,extension,width,height,duration_seconds,size_mb,suggested_use
78b47b01-5bf1-4473-b891-3fc45e99cab2.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/78b47b01-5bf1-4473-b891-3fc45e99cab2.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,15.5,2.09,communication du club
85acd2d0-b322-4ba1-8e42-13c82a512000.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/85acd2d0-b322-4ba1-8e42-13c82a512000.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,6.7,0.87,communication du club
IMG_20260308_165734.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_165734.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1080,1920,,1.29,histoire; communication du club
IMG_20260308_165735.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_165735.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1080,1920,,1.39,histoire; communication du club
IMG_20260308_165738.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_165738.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1080,1920,,1.36,histoire; communication du club
IMG_20260308_171744.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_171744.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,12000,9000,,34.06,histoire; communication du club
IMG_20260308_171813.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_171813.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,12000,9000,,35.52,histoire; communication du club
IMG_20260308_171815.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_171815.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,12000,9000,,32.48,histoire; communication du club
IMG_20260308_172310.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_172310.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1920,1080,,0.99,histoire; communication du club
IMG_20260308_172311.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_172311.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1920,1080,,0.84,histoire; communication du club
IMG_20260308_172314.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_172314.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1920,1080,,0.99,histoire; communication du club
IMG_20260308_172320.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_172320.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,4000,3000,,12.32,histoire; communication du club
IMG_20260308_172321.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_172321.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,4000,3000,,11.76,histoire; communication du club
IMG_20260308_185125.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_185125.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,3000,4000,,3.64,histoire; communication du club
IMG_20260308_185128.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_185128.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,3000,4000,,2.62,histoire; communication du club
VID-20260308-WA0013.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID-20260308-WA0013.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1072,1920,8.1,5.98,communication du club
